,Venue Name,Average Rating,Review Count,SkyTrain Station,Latitude,Longitude,ID,Source,Distance
97,Bubble Waffle Cafe (Cambie),2.6,45,Marine Drive Station,49.2107578,-123.1165243,ChIJV-dFQG91hlQRdfDOs5dpyrk,Google,126.2040697850056
98,Rice 'N Spice,4.0,43,Waterfront Station,49.2845623,-123.1121817,ChIJheSDYHhxhlQRRdh59OFQqgA,Google,127.81981458358
99,Saigon Xua Vancouver,3.9,140,Yaletown-Roundhouse Station,49.2744337,-123.123706,ChIJs8dj47pzhlQRAsN-T6gsiKg,Google,128.63928944240612
100,Little Saigon Yaletown,3.9,391,Yaletown-Roundhouse Station,49.2737722,-123.1232712,ChIJp_ZHKtdzhlQRw9xXAEHu3m8,Google,128.68020489765658
101,Zaatar w Zeit,4.6,834,Waterfront,49.28437599999999,-123.115583,ChIJZV-t8GVxhlQR_e49w10QaFQ,Google,129.77235372284906
102,Panago Pizza,3.9,91,Yaletown-Roundhouse Station,49.27375139999999,-123.1232728,ChIJudvxKtdzhlQRGvL6jyfnocY,Google,130.30622670326454
103,Mount Everest Kitchen & Grill,4.7,998,Granville,49.2835226,-123.1143514,ChIJwfjJ0MdxhlQR7n2U3xYI-Jk,Google,131.78465150131117
104,Cioppino's Mediterranean Grill,4.6,615,Yaletown-Roundhouse Station,49.2757199,-123.1217486,ChIJXd-B9NZzhlQRXZXEHdBn71E,Google,132.2738452344178
105,The Stock Room,4.3,153,Yaletown-Roundhouse Station,49.2757334,-123.1223227,ChIJ17PG8TJzhlQR4Edd5h5LZps,Google,135.91236461488705
106,Hundy,4.4,623,Yaletown-Roundhouse Station,49.2757377,-123.122299,ChIJa3ZV1dRzhlQR_GgH_nugctc,Google,136.04075625281493
107,Glowbal,4.3,3846,Vancouver City Centre,49.28153140000001,-123.1173984,ChIJ184e4X5xhlQREgkeHvFAYwE,Google,136.50039040242362
108,Fiasco Pizza Company,1.0,1,Yaletown-Roundhouse Station,49.2756172,-123.1210361,ChIJ26LK99ZzhlQReLXlcF3jBRU,Google,136.85365183052397
109,McDonald's,3.5,644,Broadway-City Hall Station,49.2635405,-123.1162715,ChIJuXRpDd1zhlQR0yATbh-djVA,Google,139.3603383459539
110,Yolks,4.1,1560,Broadway-City Hall Station,49.2630774,-123.1164679,ChIJ-z29a91zhlQRgI2lflpubNM,Google,140.13548561621988
111,Subway,3.0,160,Joyce–Collingwood,49.23724259999999,-123.0326314,ChIJ0epZjJN2hlQRpw5lwXeouy0,Google,140.81016742863173
112,TAKO - Taqueria Korean,4.3,825,Stadium-Chinatown,49.2788899,-123.1082342,ChIJIwA4nntxhlQRBmzcXjGwJRQ,Google,141.90874005621828
113,Ki Isu Japanese Restaurant,4.3,368,Yaletown-Roundhouse Station,49.27370819999999,-123.1234654,ChIJSUTFKtdzhlQRJkhDS0tv2bw,Google,144.0121183920948
114,Alouette Bistro,4.2,327,Burrard,49.2853077,-123.1182531,ChIJQ3EWTtpxhlQR8AOWxpM5tBY,Google,144.09543116727875
115,Sushi Den,4.0,1090,Stadium-Chinatown,49.2794237,-123.1078451,ChIJ68VbpHtxhlQRr5Jty3Sb-Vo,Google,144.9384810234606
116,Guu with Otokomae,4.2,915,Waterfront Station,49.2847191,-123.1103983,ChIJP0wBP3hxhlQR5bMiXWGm6Zs,Google,145.9966386581061
117,McDonald's,3.4,4299,Main Street-Science World,49.2718666,-123.1006106,ChIJO1V_sWZxhlQR69RUQ1rHcb0,Google,146.38019969733287
118,Japanese Bistro Kamome,4.5,288,Joyce–Collingwood,49.2371995,-123.0327017,ChIJp0mGi5N2hlQRuzczZkNzA9A,Google,147.40743665347648
119,Sushi California,4.2,2032,Broadway-City Hall Station,49.262935,-123.1125047,ChIJ7bBsit1zhlQRtzvtW59ZWjM,Google,147.8976581002025
120,Samurai Sushi House,3.9,1007,Oakridge-41st Avenue,49.2318904,-123.1159603,ChIJo_2vlHB0hlQR6RN_OGTAvBw,Google,149.17616928520908
121,Freshbowl,4.4,232,Yaletown-Roundhouse Station,49.2742186,-123.1199149,ChIJEdgLCNdzhlQRi5LkuYIevCo,Google,151.1127017750157
122,Tacofino Oasis,4.4,489,Burrard,49.2868613,-123.1196335,ChIJi3Q2zoNxhlQRvZpoJv2kebA,Google,151.26625170945917
123,Tasty Indian Bistro | Yaletown,4.3,2094,Yaletown-Roundhouse Station,49.2742811,-123.1240125,ChIJZTIYBNBzhlQRGKVpjg2ZmPI,Google,153.02919368016603
124,Freshii,3.1,55,Yvr–Airport,49.1955211,-123.1775609,ChIJ59HrljULhlQRcDHAEpYgqdc,Google,154.83541983706675
125,Saku Broadway,4.4,857,Broadway-City Hall Station,49.2630923,-123.1166759,ChIJQdEZYpBzhlQRwNpmnXQnBxU,Google,155.3051170784796
126,Momo Sushi,4.2,1811,Waterfront Station,49.284686,-123.110254,ChIJP0wBP3hxhlQRTAaG6y4I_nQ,Google,155.90789174518545
127,JOEY Bentall One,4.3,1667,Burrard,49.28647100000001,-123.1185567,ChIJ0T6uN4JxhlQRlqiDjRbDiHA,Google,157.15588328659754
128,Stock & Supply,4.7,146,Waterfront,49.2841681,-123.1127093,ChIJsfqmXW9xhlQR0zvog-Llg8I,Google,158.32641183606214
129,Elisa,4.5,1836,Yaletown-Roundhouse Station,49.27596430000001,-123.1214134,ChIJhcHC8TBzhlQRPsVWKk8ZNJQ,Google,163.25106071653985
130,Kita No Donburi,4.3,885,Waterfront Station,49.284594,-123.113304,ChIJocSPi3hxhlQRWXF8ze-OOZI,Google,164.2015755459077
131,Yopo Sweet Mandarin,4.0,36,Yaletown-Roundhouse Station,49.2760317,-123.1218906,ChIJVQHei9ZzhlQR7LUiZK3ewuw,Google,166.25288085527802
132,Aladdin Café,4.0,365,Vancouver City Centre,49.2809908,-123.1189847,ChIJAQBAvH9xhlQRr9iI1i0f_UI,Google,166.5906991891872
133,Hula Poke Yaletown,3.9,115,Yaletown-Roundhouse Station,49.2755843,-123.1202951,ChIJF61yx_9zhlQR2I-9s4VW3_w,Google,166.74148868382358
134,Fortune Express,2.7,34,Burrard,49.28660259999999,-123.1185528,ChIJzUjcSYJxhlQRdcQLxWwf-vc,Google,167.2358539869073
135,The Grill,4.0,1,Waterfront,49.28653550000001,-123.115292,ChIJY0IWYIJxhlQR14Oc8XS_E7M,Google,169.47569985757238
136,Earls Kitchen + Bar,4.1,2568,Yaletown-Roundhouse Station,49.2757745,-123.1205683,ChIJ84uJWdZzhlQRW_JFwEYZIgY,Google,169.8209278305529
137,1931 Gallery Bistro,4.0,324,Vancouver City Centre,49.2830077,-123.1208179,ChIJH4ScrwVxhlQRk74FDsvybDE,Google,170.79564969365558
138,Diva at the Met,4.1,158,Granville,49.28392299999999,-123.1183181,ChIJVTmSWX9xhlQRj3wKEpEEbOU,Google,173.30205109273646
139,可爱的新疆 Lovely Uyghur (Order from our website & SAVE MORE!),4.3,86,Joyce–Collingwood,49.2395134,-123.0301247,ChIJ-Yy0ms53hlQRfVU8tFxnGKg,Google,173.58431278048613
140,Pajo's Fish & Chips at YVR Airport,4.0,82,Yvr–Airport,49.1957495,-123.1778705,ChIJzakqDCkLhlQR5FObRjodJMk,Google,173.81392936148384
141,Tim Hortons,3.6,7,Yvr–Airport,49.1957495,-123.1778705,ChIJUQOQYhALhlQR3OzrJIvmF3w,Google,173.81392936148384
142,Miku Vancouver,4.5,6213,Waterfront Station,49.2870179,-123.1130107,ChIJlyu4u4NxhlQRkUpN_iFwl8Q,Google,173.86710701929636
143,Qieu Cafe,3.5,78,Stadium-Chinatown,49.2793436,-123.107433,ChIJKR07pHtxhlQR-2Q45lIzU0s,Google,175.9416677302846
144,Subway,3.6,240,Main Street-Science World,49.2747643,-123.1003084,ChIJYfoATWRxhlQRX2IkHv_iZA4,Google,177.08164623813897
145,The Loft at Earls Yaletown,4.9,13,Yaletown-Roundhouse Station,49.2758583,-123.1205682,ChIJQ-XeGelzhlQR6YyOgzXFzG0,Google,177.45995821018428
146,A&W Canada,3.9,164,Main Street-Science World,49.2737908,-123.0980653,ChIJv_mvUoV0j1QRhJrRxvVgQOI,Google,179.46738142441546
147,AFTERNOON TEA,3.4,5,Yvr–Airport,49.1949175,-123.1760053,ChIJWxi52dELhlQRbhfYISTiOfo,Google,182.6399292410453
148,Blue Water Cafe,4.7,2637,Yaletown-Roundhouse Station,49.276155,-123.1211291,ChIJZ04tZ9ZzhlQRDsJZp_cOS4U,Google,189.2954956041844
149,Sauzzy Thai,3.8,26,Vancouver City Centre,49.2825052,-123.1212386,ChIJu4v9j39xhlQRhhc3m6qj6E0,Google,190.5140743219624
150,Wendy's,2.9,123,Yvr–Airport,49.19375540000001,-123.1808145,ChIJ1x3MVzQLhlQR3QYoSvOdwLE,Google,191.46067121858195
